Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /analytics/department/{dept},18,0,9,15.482227943721227,5.328179999196436,50.27846700249938,125.27777777777777,0.15093357802957905,0.0,11,15,19,21,41,50,50,50,50,50,50
GET,GET /analytics/summary,22,22,8,10.676987954370402,5.884726997464895,31.398414001159836,113.0,0.18447437314726328,0.18447437314726328,9,11,11,12,12,27,31,31,31,31,31
GET,GET /analytics/time-series,9,9,8,8.785513333148426,6.566809002833907,12.97568600421073,117.0,0.07546678901478952,0.07546678901478952,8,8,9,11,13,13,13,13,13,13,13
GET,GET /questionnaires/active,444,0,9,16.812204531766135,4.860976005147677,864.6787839970784,0.0,3.72302825806295,0.0,9,11,13,13,17,21,33,56,860,860,860
GET,GET /surveys [by user],130,130,10,14.351896639149905,5.71144100103993,406.99725100421347,112.0,1.0900758413247376,1.0900758413247376,10,12,13,14,20,26,30,32,410,410,410
GET,GET /surveys/pending,120,0,10,18.21074361699478,4.682368002249859,628.5448279959382,111.0,1.006223853530527,0.0,10,12,14,15,18,32,49,160,630,630,630
POST,POST /surveys [healthy],1363,0,15,22.384012369752465,7.293460999790113,839.8675659991568,296.0,11.429025936350902,0.0,15,18,19,21,24,29,45,280,840,840,840
POST,POST /surveys [symptoms],253,0,15,22.14337108287387,7.631202999618836,638.3243329983088,295.0,2.1214552911935276,0.0,15,18,20,21,26,32,59,250,640,640,640
POST,POST /surveys/{id}/validate,53,0,10,11.7023380376884,6.108382003731094,34.43740499642445,149.0,0.4444155353093161,0.0,10,11,13,14,19,27,32,34,34,34,34
,Aggregated,2412,161,13,20.248840682898706,4.682368002249859,864.6787839970784,215.4452736318408,20.22509945596359,1.3500170034867904,13,16,18,19,23,29,43,190,840,860,860
